banRate,champ,id,log,matches,patch,pickRate,rank,ranking,role,tier,winRate
,Heimerdinger,,,8946,11.3,,Bronze,42,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.75
,Warwick,,,57506,11.3,,Bronze,43,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,51.71
,Yone,,,71934,11.3,,Bronze,44,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.7
,Volibear,,,24000,11.3,,Bronze,45,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,51.63
,Yasuo,,,96539,11.3,,Bronze,46,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.62
,Nocturne,,,37768,11.3,,Bronze,47,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,51.6
,Maokai,,,18685,11.3,,Bronze,48,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,51.57
,Malphite,,,8596,11.3,,Bronze,49,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.51
,Ornn,,,26697,11.3,,Bronze,50,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,51.5
,Alistar,,,26251,11.3,,Bronze,51,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,51.49
,Master Yi,,,89538,11.3,,Bronze,52,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,51.48
,Vi,,,22991,11.3,,Bronze,53,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,51.47
,Zilean,,,8165,11.3,,Bronze,54,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,51.45
,Seraphine,,,4582,11.3,,Bronze,55,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.42
,Miss Fortune,,,133492,11.3,,Bronze,56,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,51.41
,Pyke,,,9275,11.3,,Bronze,57,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.41
,Illaoi,,,27977,11.3,,Bronze,58,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,51.37
,Nocturne,,,4131,11.3,,Bronze,59,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.32
,Elise,,,13661,11.3,,Bronze,60,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,51.26
,Taric,,,4780,11.3,,Bronze,61,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,51.26
,Jhin,,,107482,11.3,,Bronze,62,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,51.21
,Viktor,,,10575,11.3,,Bronze,63,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,51.17
,Tristana,,,75380,11.3,,Bronze,64,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,51.17
,Xerath,,,20860,11.3,,Bronze,65,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,51.15
,Zac,,,11645,11.3,,Bronze,66,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,51.13
,Seraphine,,,49557,11.3,,Bronze,67,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,51.12
,Karthus,,,7456,11.3,,Bronze,68,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,51.09
,Wukong,,,15187,11.3,,Bronze,69,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,51.02
,Yasuo,,,12828,11.3,,Bronze,70,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,51.01
,Nautilus,,,49156,11.3,,Bronze,71,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,51.0
,Galio,,,23814,11.3,,Bronze,72,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.99
,Blitzcrank,,,52135,11.3,,Bronze,73,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,50.98
,Urgot,,,25413,11.3,,Bronze,74,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.96
,Vayne,,,63280,11.3,,Bronze,75,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,50.95
,Renekton,,,6022,11.3,,Bronze,76,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.88
,Sejuani,,,7091,11.3,,Bronze,77,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,50.87
,Kai'Sa,,,137282,11.3,,Bronze,78,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,50.78
,Hecarim,,,44390,11.3,,Bronze,79,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,50.78
,Ekko,,,27501,11.3,,Bronze,80,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.75
,Lux,,,33063,11.3,,Bronze,81,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.73
,Shen,,,22035,11.3,,Bronze,82,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.72
,Kled,,,6412,11.3,,Bronze,83,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.7
,Nami,,,14275,11.3,,Bronze,84,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,50.6
,Sona,,,14977,11.3,,Bronze,85,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,50.59
,Poppy,,,4568,11.3,,Bronze,86,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,50.57
,Dr. Mundo,,,12166,11.3,,Bronze,87,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.57
