certantyModifier,champion,counter,counterBonus,counterRole,laneBonus,matches,patch,rank,role,totalBonus,winrate
0.064,Aatrox,Singed,6.273472000000002,top,0.0,144,11.3,Bronze,top,6.273472000000002,61.81
0.12577777777777777,Aatrox,Yasuo,11.619225333333336,top,0.0,283,11.3,Bronze,top,11.619225333333336,61.13
0.11288888888888889,Aatrox,Quinn,9.594652444444446,top,0.0,254,11.3,Bronze,top,9.594652444444446,60.24
0.07333333333333333,Aatrox,Sion,4.978893333333334,top,0.0,165,11.3,Bronze,top,4.978893333333334,58.18
0.1991111111111111,Aatrox,Vayne,12.543402666666672,top,0.0,448,11.3,Bronze,top,12.543402666666672,57.59
0.28355555555555556,Aatrox,Illaoi,16.968815111111116,top,0.0,638,11.3,Bronze,top,16.968815111111116,57.21
0.2222222222222222,Aatrox,Cho'Gath,11.804444444444442,top,0.0,500,11.3,Bronze,top,11.804444444444442,56.4
0.6008888888888889,Aatrox,Malphite,29.12628622222224,top,0.0,1352,11.3,Bronze,top,29.12628622222224,55.84
0.23466666666666666,Aatrox,Jax,10.693056000000006,top,0.0,528,11.3,Bronze,top,10.693056000000006,55.49
0.21155555555555555,Aatrox,Tryndamere,9.218533333333333,top,0.0,476,11.3,Bronze,top,9.218533333333333,55.25
0.12755555555555556,Aatrox,Yorick,4.975942222222225,top,0.0,287,11.3,Bronze,top,4.975942222222225,54.7
0.8995555555555556,Aatrox,Garen,34.64368355555556,top,0.0,2024,11.3,Bronze,top,34.64368355555556,54.64
0.16622222222222222,Aatrox,Pantheon,6.277382222222219,top,0.0,374,11.3,Bronze,top,6.277382222222219,54.55
0.49066666666666664,Aatrox,Teemo,18.08204799999999,top,0.0,1104,11.3,Bronze,top,18.08204799999999,54.44
0.09333333333333334,Aatrox,Kennen,2.9514800000000023,top,0.0,210,11.3,Bronze,top,2.9514800000000023,53.81
0.14044444444444446,Aatrox,Yone,4.429617777777775,top,0.0,316,11.3,Bronze,top,4.429617777777775,53.8
0.244,Aatrox,Urgot,7.553995999999994,top,0.0,549,11.3,Bronze,top,7.553995999999994,53.73
0.09688888888888889,Aatrox,Gragas,2.581410666666667,top,0.0,218,11.3,Bronze,top,2.581410666666667,53.21
0.2768888888888889,Aatrox,Fiora,7.193296444444451,top,0.0,623,11.3,Bronze,top,7.193296444444451,53.13
0.6137777777777778,Aatrox,Darius,13.44909866666667,top,0.0,1381,11.3,Bronze,top,13.44909866666667,52.64
0.24444444444444444,Aatrox,Shen,5.173666666666661,top,0.0,550,11.3,Bronze,top,5.173666666666661,52.55
0.14577777777777778,Aatrox,Wukong,2.952291555555553,top,0.0,328,11.3,Bronze,top,2.952291555555553,52.44
0.06222222222222222,Aatrox,Rengar,1.1051911111111115,top,0.0,140,11.3,Bronze,top,1.1051911111111115,52.14
0.39244444444444443,Aatrox,Irelia,6.840306666666672,top,0.0,883,11.3,Bronze,top,6.840306666666672,52.1
0.684,Aatrox,Sett,10.50282000000001,top,0.0,1539,11.3,Bronze,top,10.50282000000001,51.85
0.5551111111111111,Aatrox,Mordekaiser,8.293359999999987,top,0.0,1249,11.3,Bronze,top,8.293359999999987,51.8
0.45511111111111113,Aatrox,Nasus,6.270520888888877,top,0.0,1024,11.3,Bronze,top,6.270520888888877,51.66
0.12355555555555556,Aatrox,Kayle,1.4767359999999978,top,0.0,278,11.3,Bronze,top,1.4767359999999978,51.44
0.3244444444444444,Aatrox,Gnar,3.312253333333325,top,0.0,730,11.3,Bronze,top,3.312253333333325,51.23
0.2702222222222222,Aatrox,Volibear,2.220416000000004,top,0.0,608,11.3,Bronze,top,2.220416000000004,50.99
0.4151111111111111,Aatrox,Ornn,3.3076053333333366,top,0.0,934,11.3,Bronze,top,3.3076053333333366,50.96
0.06311111111111112,Aatrox,Gangplank,0.36667555555555714,top,0.0,142,11.3,Bronze,top,0.36667555555555714,50.7
0.064,Aatrox,Maokai,0.36652799999999885,top,0.0,144,11.3,Bronze,top,0.36652799999999885,50.69
0.07333333333333333,Aatrox,Kled,0.1825999999999983,top,0.0,165,11.3,Bronze,top,0.1825999999999983,50.3
0.0768888888888889,Aatrox,Warwick,0.18507155555555502,top,0.0,173,11.3,Bronze,top,0.18507155555555502,50.29
0.6333333333333333,Aatrox,Renekton,0.21026666666666222,top,0.0,1425,11.3,Bronze,top,0.21026666666666222,50.04
0.0022222222222222222,Aatrox,Jarvan IV,0.9222222222222224,jungle,0.0,5,11.3,Bronze,jungle,0.9222222222222224,100.0
0.0026666666666666666,Aatrox,Karthus,0.737704,jungle,0.0,6,11.3,Bronze,jungle,0.737704,83.33
0.012444444444444444,Aatrox,Hecarim,3.319704888888889,jungle,0.0,28,11.3,Bronze,jungle,3.319704888888889,82.14
0.004888888888888889,Aatrox,Vi,1.2911848888888886,jungle,0.0,11,11.3,Bronze,jungle,1.2911848888888886,81.82
0.005333333333333333,Aatrox,Rammus,1.1066666666666667,jungle,0.0,12,11.3,Bronze,jungle,1.1066666666666667,75.0
0.008,Aatrox,Nocturne,1.475408,jungle,0.0,18,11.3,Bronze,jungle,1.475408,72.22
0.0071111111111111115,Aatrox,Amumu,1.1066666666666667,jungle,0.0,16,11.3,Bronze,jungle,1.1066666666666667,68.75
0.021777777777777778,Aatrox,Kayn,3.1361088888888884,jungle,0.0,49,11.3,Bronze,jungle,3.1361088888888884,67.35
0.012,Aatrox,Ekko,1.6603320000000004,jungle,0.0,27,11.3,Bronze,jungle,1.6603320000000004,66.67
0.006666666666666667,Aatrox,Pantheon,0.9224066666666668,jungle,0.0,15,11.3,Bronze,jungle,0.9224066666666668,66.67
0.004888888888888889,Aatrox,Jax,0.5534808888888889,jungle,0.0,11,11.3,Bronze,jungle,0.5534808888888889,63.64
0.008444444444444444,Aatrox,Olaf,0.9223697777777775,jungle,0.0,19,11.3,Bronze,jungle,0.9223697777777775,63.16
0.024888888888888887,Aatrox,Master Yi,2.5822222222222226,jungle,0.0,56,11.3,Bronze,jungle,2.5822222222222226,62.5
0.0035555555555555557,Aatrox,Fiddlesticks,0.36888888888888893,jungle,0.0,8,11.3,Bronze,jungle,0.36888888888888893,62.5
0.016444444444444446,Aatrox,Lee Sin,1.6597048888888888,jungle,0.0,37,11.3,Bronze,jungle,1.6597048888888888,62.16
0.0057777777777777775,Aatrox,Shaco,0.5534071111111111,jungle,0.0,13,11.3,Bronze,jungle,0.5534071111111111,61.54
0.005333333333333333,Aatrox,Nidalee,0.3687413333333333,jungle,0.0,12,11.3,Bronze,jungle,0.3687413333333333,58.33
0.005333333333333333,Aatrox,Elise,0.3687413333333333,jungle,0.0,12,11.3,Bronze,jungle,0.3687413333333333,58.33
0.003111111111111111,Aatrox,Poppy,0.18437066666666668,jungle,0.0,7,11.3,Bronze,jungle,0.18437066666666668,57.14
0.004,Aatrox,Volibear,0.1845920000000001,jungle,0.0,9,11.3,Bronze,jungle,0.1845920000000001,55.56
0.008,Aatrox,Xin Zhao,0.3691840000000002,jungle,0.0,18,11.3,Bronze,jungle,0.3691840000000002,55.56
0.016888888888888887,Aatrox,Viego,0.7373351111111108,jungle,0.0,38,11.3,Bronze,jungle,0.7373351111111108,55.26
0.0057777777777777775,Aatrox,Shyvana,0.18462888888888898,jungle,0.0,13,11.3,Bronze,jungle,0.18462888888888898,53.85
0.006666666666666667,Aatrox,Dr. Mundo,0.18425999999999992,jungle,0.0,15,11.3,Bronze,jungle,0.18425999999999992,53.33
0.0044444444444444444,Aatrox,Ziggs,0.7377777777777778,mid,0.0,10,11.3,Bronze,mid,0.7377777777777778,70.0
0.006666666666666667,Aatrox,Ryze,0.9224066666666668,mid,0.0,15,11.3,Bronze,mid,0.9224066666666668,66.67
0.004,Aatrox,Jayce,0.553444,mid,0.0,9,11.3,Bronze,mid,0.553444,66.67
0.008888888888888889,Aatrox,Viktor,1.1066666666666667,mid,0.0,20,11.3,Bronze,mid,1.1066666666666667,65.0
0.006222222222222222,Aatrox,Syndra,0.7379991111111114,mid,0.0,14,11.3,Bronze,mid,0.7379991111111114,64.29
0.017333333333333333,Aatrox,Ahri,2.028519999999999,mid,0.0,39,11.3,Bronze,mid,2.028519999999999,64.1
0.004888888888888889,Aatrox,Malzahar,0.5534808888888889,mid,0.0,11,11.3,Bronze,mid,0.5534808888888889,63.64
0.009777777777777778,Aatrox,Renekton,1.1069617777777778,mid,0.0,22,11.3,Bronze,mid,1.1069617777777778,63.64
0.010666666666666666,Aatrox,LeBlanc,1.1066666666666667,mid,0.0,24,11.3,Bronze,mid,1.1066666666666667,62.5
0.021777777777777778,Aatrox,Lux,2.0280773333333335,mid,0.0,49,11.3,Bronze,mid,2.0280773333333335,61.22
0.008,Aatrox,Vladimir,0.737704,mid,0.0,18,11.3,Bronze,mid,0.737704,61.11
0.012444444444444444,Aatrox,Ekko,1.106224,mid,0.0,28,11.3,Bronze,mid,1.106224,60.71
0.0044444444444444444,Aatrox,Brand,0.3688888888888889,mid,0.0,10,11.3,Bronze,mid,0.3688888888888889,60.0
0.009777777777777778,Aatrox,Viego,0.7377040000000002,mid,0.0,22,11.3,Bronze,mid,0.7377040000000002,59.09
0.008444444444444444,Aatrox,Neeko,0.5530013333333333,mid,0.0,19,11.3,Bronze,mid,0.5530013333333333,57.89
0.009333333333333334,Aatrox,Veigar,0.5531120000000002,mid,0.0,21,11.3,Bronze,mid,0.5531120000000002,57.14
0.026222222222222223,Aatrox,Irelia,1.2906315555555556,mid,0.0,59,11.3,Bronze,mid,1.2906315555555556,55.93
0.020888888888888887,Aatrox,Akali,0.9223697777777778,mid,0.0,47,11.3,Bronze,mid,0.9223697777777778,55.32
0.027555555555555555,Aatrox,Pantheon,1.1069617777777787,mid,0.0,62,11.3,Bronze,mid,1.1069617777777787,54.84
0.004888888888888889,Aatrox,Cassiopeia,0.1846288888888888,mid,0.0,11,11.3,Bronze,mid,0.1846288888888888,54.55
0.02711111111111111,Aatrox,Sylas,0.9225911111111115,mid,0.0,61,11.3,Bronze,mid,0.9225911111111115,54.1
0.011555555555555555,Aatrox,Lucian,0.36925777777777796,mid,0.0,26,11.3,Bronze,mid,0.36925777777777796,53.85
0.011555555555555555,Aatrox,Anivia,0.36925777777777796,mid,0.0,26,11.3,Bronze,mid,0.36925777777777796,53.85
0.05288888888888889,Aatrox,Yone,1.6593360000000006,mid,0.0,119,11.3,Bronze,mid,1.6593360000000006,53.78
0.021777777777777778,Aatrox,Fizz,0.5531120000000005,mid,0.0,49,11.3,Bronze,mid,0.5531120000000005,53.06
0.009333333333333334,Aatrox,Orianna,0.1843706666666669,mid,0.0,21,11.3,Bronze,mid,0.1843706666666669,52.38
0.010222222222222223,Aatrox,Sett,0.18411244444444463,mid,0.0,23,11.3,Bronze,mid,0.18411244444444463,52.17
0.010222222222222223,Aatrox,Pyke,0.18411244444444463,mid,0.0,23,11.3,Bronze,mid,0.18411244444444463,52.17
0.08311111111111111,Aatrox,Yasuo,0.9243617777777803,mid,0.0,187,11.3,Bronze,mid,0.9243617777777803,51.34
8.888888888888889E-4,Aatrox,Kalista,0.36888888888888893,adc,0.0,2,11.3,Bronze,adc,0.36888888888888893,100.0
8.888888888888889E-4,Aatrox,Jinx,0.36888888888888893,adc,0.0,2,11.3,Bronze,adc,0.36888888888888893,100.0
4.4444444444444447E-4,Aatrox,Varus,0.18444444444444447,adc,0.0,1,11.3,Bronze,adc,0.18444444444444447,100.0
8.888888888888889E-4,Aatrox,Ezreal,0.36888888888888893,adc,0.0,2,11.3,Bronze,adc,0.36888888888888893,100.0
8.888888888888889E-4,Aatrox,Caitlyn,0.36888888888888893,adc,0.0,2,11.3,Bronze,adc,0.36888888888888893,100.0
4.4444444444444447E-4,Aatrox,Twitch,0.18444444444444447,adc,0.0,1,11.3,Bronze,adc,0.18444444444444447,100.0
4.4444444444444447E-4,Aatrox,Morgana,0.18444444444444447,adc,0.0,1,11.3,Bronze,adc,0.18444444444444447,100.0
8.888888888888889E-4,Aatrox,Miss Fortune,0.36888888888888893,adc,0.0,2,11.3,Bronze,adc,0.36888888888888893,100.0
8.888888888888889E-4,Aatrox,Tristana,0.36888888888888893,adc,0.0,2,11.3,Bronze,adc,0.36888888888888893,100.0
0.004888888888888889,Aatrox,Kai'Sa,1.6600368888888888,adc,0.0,11,11.3,Bronze,adc,1.6600368888888888,90.91
0.0017777777777777779,Aatrox,Jhin,0.36888888888888893,adc,0.0,4,11.3,Bronze,adc,0.36888888888888893,75.0
0.0026666666666666666,Aatrox,Lucian,0.3689626666666667,adc,0.0,6,11.3,Bronze,adc,0.3689626666666667,66.67
0.0013333333333333333,Aatrox,Pyke,0.5533333333333333,supp,0.0,3,11.3,Bronze,supp,0.5533333333333333,100.0
4.4444444444444447E-4,Aatrox,Viego,0.18444444444444447,supp,0.0,1,11.3,Bronze,supp,0.18444444444444447,100.0
8.888888888888889E-4,Aatrox,Zyra,0.36888888888888893,supp,0.0,2,11.3,Bronze,supp,0.36888888888888893,100.0
4.4444444444444447E-4,Aatrox,Xerath,0.18444444444444447,supp,0.0,1,11.3,Bronze,supp,0.18444444444444447,100.0
0.0022222222222222222,Aatrox,Leona,0.9222222222222224,supp,0.0,5,11.3,Bronze,supp,0.9222222222222224,100.0
4.4444444444444447E-4,Aatrox,Heimerdinger,0.18444444444444447,supp,0.0,1,11.3,Bronze,supp,0.18444444444444447,100.0
4.4444444444444447E-4,Aatrox,Renekton,0.18444444444444447,supp,0.0,1,11.3,Bronze,supp,0.18444444444444447,100.0
4.4444444444444447E-4,Aatrox,Maokai,0.18444444444444447,supp,0.0,1,11.3,Bronze,supp,0.18444444444444447,100.0
4.4444444444444447E-4,Aatrox,Veigar,0.18444444444444447,supp,0.0,1,11.3,Bronze,supp,0.18444444444444447,100.0
4.4444444444444447E-4,Aatrox,Janna,0.18444444444444447,supp,0.0,1,11.3,Bronze,supp,0.18444444444444447,100.0
